trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
71102,7/17/13 0:01,7/17/13 0:13,625,745,59,Wabash Ave & Roosevelt Rd,62,McCormick Place,Customer,null,null,The Loop,41.8682,-87.6263,Near South Side,41.8514,-87.6188,1963.892802
71105,7/17/13 0:11,7/17/13 0:18,587,421,5,State St & Harrison St,72,State St & 16th St,Customer,null,null,The Loop,41.874,-87.6277,Near South Side,41.8601,-87.6277,1536.850005
71108,7/17/13 0:22,7/17/13 0:47,659,1482,52,Michigan Ave & Lake St,42,Wabash Ave & Cermak Rd,Customer,null,null,The Loop,41.886,-87.6241,Near South Side,41.8532,-87.6253,3642.889775
71110,7/17/13 0:25,7/17/13 0:41,600,960,26,McClurg Ct & Illinois St,77,Clinton St & Madison St,Customer,null,null,Near North Side,41.891,-87.6173,Near West Side,41.8816,-87.6413,2249.274923
71112,7/17/13 0:43,7/17/13 1:40,461,3396,99,Lake Shore Dr & Ohio St,273,Michigan Ave & 18th St,Customer,null,null,Near North Side,41.8926,-87.6145,Near South Side,41.8579,-87.6236,3920.846189
71113,7/17/13 0:45,7/17/13 1:40,65,3313,99,Lake Shore Dr & Ohio St,99,Lake Shore Dr & Ohio St,Customer,null,null,Near North Side,41.8926,-87.6145,Near North Side,41.8926,-87.6145,0
71114,7/17/13 0:49,7/17/13 1:04,488,881,25,Michigan Ave & Pearson St,43,Michigan Ave & Washington St,Customer,null,null,Near North Side,41.8977,-87.6235,The Loop,41.8839,-87.6246,1532.061944
71117,7/17/13 1:05,7/17/13 1:16,488,661,43,Michigan Ave & Washington St,59,Wabash Ave & Roosevelt Rd,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.8682,-87.6263,1752.495073
71118,7/17/13 1:15,7/17/13 1:25,622,587,350,Ashland Ave & Chicago Ave,31,Franklin St & Chicago Ave,Customer,null,null,West Town,41.896,-87.6677,Near North Side,41.8968,-87.6356,2666.151663
71120,7/17/13 1:33,7/17/13 2:03,824,1793,34,Cannon Dr & Fullerton Ave,52,Michigan Ave & Lake St,Customer,null,null,Lincoln Park,41.9268,-87.6344,The Loop,41.886,-87.6241,4604.353841
71122,7/17/13 1:35,7/17/13 1:54,598,1167,85,Michigan Ave & Oak St,43,Michigan Ave & Washington St,Customer,null,null,Near North Side,41.901,-87.6238,The Loop,41.8839,-87.6246,1897.103313
71123,7/17/13 2:13,7/17/13 2:58,461,2676,273,Michigan Ave & 18th St,99,Lake Shore Dr & Ohio St,Customer,null,null,Near South Side,41.8579,-87.6236,Near North Side,41.8926,-87.6145,3920.846189
71124,7/17/13 2:14,7/17/13 2:57,344,2631,99,Lake Shore Dr & Ohio St,99,Lake Shore Dr & Ohio St,Customer,null,null,Near North Side,41.8926,-87.6145,Near North Side,41.8926,-87.6145,0
