trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
1027390,11/27/2013 1:54,11/27/2013 2:51,898,3374,306,Sheridan Rd & Buena Ave,231,Sheridan Rd & Montrose Ave,Customer,null,null,Uptown,41.9584,-87.6542,Uptown,41.9617,-87.6546,364.794081
1027402,11/27/2013 5:38,11/27/2013 5:50,2428,697,277,Ashland Ave & Grand Ave,56,Desplaines St & Kinzie St,Customer,null,null,West Town,41.8911,-87.6666,Near West Side,41.8887,-87.6444,1857.916404
1027411,11/27/2013 5:53,11/27/2013 5:58,1206,312,325,Clark St & Winnemac Ave,344,Wolcott Ave & Lawrence Ave,Customer,null,null,Uptown,41.9734,-87.6684,Lincoln Square,41.9686,-87.6763,845.0284967
1027426,11/27/2013 6:15,11/27/2013 6:51,2903,2173,210,Ashland Ave & Division St,287,Franklin St & Arcade Pl,Customer,null,null,West Town,41.9034,-87.6693,The Loop,41.8815,-87.6352,3739.683267
1027474,11/27/2013 6:43,11/27/2013 6:58,2583,919,29,Noble St & Milwaukee Ave,75,Canal St & Jackson Blvd,Customer,null,null,West Town,41.9007,-87.6626,Near West Side,41.8781,-87.64,3127.384764
1027490,11/27/2013 6:55,11/27/2013 7:05,2613,589,258,Logan Blvd & Elston Ave,58,Ashland Ave & Armitage Ave,Customer,null,null,Logan Square,41.9306,-87.6851,Logan Square,41.916,-87.6689,2105.740002
1027535,11/27/2013 7:14,11/27/2013 9:38,2662,8634,306,Sheridan Rd & Buena Ave,251,Clarendon Ave & Leland Ave,Customer,null,null,Uptown,41.9584,-87.6542,Uptown,41.968,-87.65,1119.073743
1027761,11/27/2013 8:08,11/27/2013 8:23,1502,929,173,Mies van der Rohe Way & Chicago Ave,164,Franklin St & Lake St,Customer,null,null,Near North Side,41.8969,-87.6217,The Loop,41.8858,-87.6355,1678.136989
1027985,11/27/2013 8:49,11/27/2013 9:01,2405,713,192,Canal St & Adams St,199,Wabash Ave & Grand Ave,Customer,null,null,Near West Side,41.8793,-87.6399,Near North Side,41.8917,-87.6269,1755.191077
1028119,11/27/2013 9:25,11/27/2013 9:28,2484,178,303,Broadway & Cornelia Ave,303,Broadway & Cornelia Ave,Customer,null,null,Lake View,41.9455,-87.646,Lake View,41.9455,-87.646,0
