trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
51111,7/12/13 0:16,7/12/13 0:20,594,264,25,Michigan Ave & Pearson St,24,Fairbanks Ct & Grand Ave,Customer,null,null,Near North Side,41.8977,-87.6235,Near North Side,41.8919,-87.6206,687.4084829
51114,7/12/13 0:18,7/12/13 7:08,265,24634,56,Desplaines St & Kinzie St,54,Ogden Ave & Chicago Ave,Customer,null,null,Near West Side,41.8887,-87.6444,West Town,41.8964,-87.6541,1165.254784
51116,7/12/13 0:23,7/12/13 0:25,490,178,22,May St & Taylor St,19,Loomis St & Taylor St,Customer,null,null,Near West Side,41.8695,-87.6555,Near West Side,41.8694,-87.661,457.4635436
51118,7/12/13 0:32,7/12/13 1:12,271,2385,179,Martin Luther King Dr & Oakwood Blvd,77,Clinton St & Madison St,Customer,null,null,Grand Boulevard,41.8226,-87.6161,Near West Side,41.8816,-87.6413,6879.717784
51119,7/12/13 0:33,7/12/13 1:09,50,2211,77,Clinton St & Madison St,77,Clinton St & Madison St,Customer,null,null,Near West Side,41.8816,-87.6413,Near West Side,41.8816,-87.6413,0
51120,7/12/13 0:37,7/12/13 0:50,523,811,74,Kingsbury St & Erie St,52,Michigan Ave & Lake St,Customer,null,null,Near North Side,41.8938,-87.6419,The Loop,41.886,-87.6241,1708.949654
51121,7/12/13 0:39,7/12/13 1:19,909,2397,19,Loomis St & Taylor St,61,Wood St & Milwaukee Ave,Customer,null,null,Near West Side,41.8694,-87.661,West Town,41.9077,-87.6726,4354.082556
51123,7/12/13 0:46,7/12/13 1:08,907,1292,47,State St & Kinzie St,61,Wood St & Milwaukee Ave,Customer,null,null,Near North Side,41.8892,-87.6277,West Town,41.9077,-87.6726,4250.131232
51124,7/12/13 0:48,7/12/13 2:25,627,5792,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
51126,7/12/13 0:54,7/12/13 2:25,148,5450,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
51131,7/12/13 1:12,7/12/13 1:24,840,725,59,Wabash Ave & Roosevelt Rd,14,Morgan St & 18th St,Customer,null,null,The Loop,41.8682,-87.6263,Lower West Side,41.8581,-87.6511,2343.965037
51132,7/12/13 1:12,7/12/13 1:24,87,736,59,Wabash Ave & Roosevelt Rd,14,Morgan St & 18th St,Customer,null,null,The Loop,41.8682,-87.6263,Lower West Side,41.8581,-87.6511,2343.965037
51133,7/12/13 1:16,7/12/13 1:40,495,1448,69,Damen Ave & Pierce Ave,47,State St & Kinzie St,Customer,null,null,West Town,41.9094,-87.6777,Near North Side,41.8892,-87.6277,4717.104915
51134,7/12/13 1:35,7/12/13 1:45,840,590,14,Morgan St & 18th St,349,Halsted St & Wrightwood Ave,Customer,null,null,Lower West Side,41.8581,-87.6511,Lincoln Park,41.9291,-87.6491,7894.125643
51135,7/12/13 1:35,7/12/13 1:44,87,567,14,Morgan St & 18th St,19,Loomis St & Taylor St,Customer,null,null,Lower West Side,41.8581,-87.6511,Near West Side,41.8694,-87.661,1504.228692
51137,7/12/13 1:45,7/12/13 2:34,280,2889,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
51138,7/12/13 1:49,7/12/13 3:49,45,7237,76,Lake Shore Dr & Monroe St,76,Lake Shore Dr & Monroe St,Customer,null,null,The Loop,41.881,-87.6167,The Loop,41.881,-87.6167,0
