trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
21717,7/4/13 0:02,7/4/13 0:15,124,819,77,Clinton St & Madison St,99,Lake Shore Dr & Ohio St,Customer,null,null,Near West Side,41.8816,-87.6413,Near North Side,41.8926,-87.6145,2536.063258
21723,7/4/13 0:16,7/4/13 0:34,307,1065,25,Michigan Ave & Pearson St,24,Fairbanks Ct & Grand Ave,Customer,null,null,Near North Side,41.8977,-87.6235,Near North Side,41.8919,-87.6206,687.4084829
21725,7/4/13 0:24,7/4/13 0:44,308,1218,26,McClurg Ct & Illinois St,23,Orleans St & Elm St,Customer,null,null,Near North Side,41.891,-87.6173,Near North Side,41.9029,-87.6377,2149.011154
21726,7/4/13 0:24,7/4/13 0:44,416,1211,26,McClurg Ct & Illinois St,23,Orleans St & Elm St,Customer,null,null,Near North Side,41.891,-87.6173,Near North Side,41.9029,-87.6377,2149.011154
21727,7/4/13 0:25,7/4/13 0:33,57,487,30,Ashland Ave & Augusta Blvd,29,Noble St & Milwaukee Ave,Customer,null,null,West Town,41.8996,-87.6677,West Town,41.9007,-87.6626,438.593004
21728,7/4/13 0:25,7/4/13 0:32,236,465,30,Ashland Ave & Augusta Blvd,29,Noble St & Milwaukee Ave,Customer,null,null,West Town,41.8996,-87.6677,West Town,41.9007,-87.6626,438.593004
21729,7/4/13 0:25,7/4/13 0:35,664,609,45,Michigan Ave & Congress Pkwy,45,Michigan Ave & Congress Pkwy,Customer,null,null,The Loop,41.8761,-87.6244,The Loop,41.8761,-87.6244,0
21730,7/4/13 0:25,7/4/13 17:15,504,60571,43,Michigan Ave & Washington St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.886,-87.6241,240.8031566
21731,7/4/13 0:30,7/4/13 0:44,209,857,76,Lake Shore Dr & Monroe St,47,State St & Kinzie St,Customer,null,null,The Loop,41.881,-87.6167,Near North Side,41.8892,-87.6277,1288.813573
21734,7/4/13 0:33,7/4/13 0:59,643,1552,56,Desplaines St & Kinzie St,13,Wilton Ave & Diversey Pkwy,Customer,null,null,Near West Side,41.8887,-87.6444,Lincoln Park,41.9325,-87.6527,4910.896974
21737,7/4/13 0:34,7/4/13 0:47,307,762,24,Fairbanks Ct & Grand Ave,251,Clarendon Ave & Leland Ave,Customer,null,null,Near North Side,41.8919,-87.6206,Uptown,41.968,-87.65,8797.700463
21738,7/4/13 0:40,7/4/13 1:04,236,1443,29,Noble St & Milwaukee Ave,71,Morgan St & Lake St,Customer,null,null,West Town,41.9007,-87.6626,Near West Side,41.8855,-87.6523,1891.833089
